t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
13.899999999999967,1071888.7110063706,1035802.5435490222,6323373.138778018,-3403.5564617125906,-3627.9704736801923,1098.1088598864192,-2.060752152465291,-0.9878751065116411,-9.036055416800114
13.999999999999966,1071548.3450564388,1035439.7415622787,6323482.90448373,-3403.7625140603755,-3628.0692357529315,1097.2052420815492,-2.0602947857696634,-0.9873663249891287,-9.03630079701546
14.099999999999966,1071207.9585035585,1035076.9297018716,6323592.579826434,-3403.9685206697445,-3628.16794694519,1096.301599727016,-2.059837378328673,-0.9868575230939349,-9.036546340212258
14.199999999999966,1070867.5513523049,1034714.1079728897,6323702.164803675,-3404.174481536041,-3628.2666072575503,1095.3979328135067,-2.059379970887683,-0.9863487386610394,-9.036791953258248
14.299999999999965,1070527.1236072513,1034351.2763804201,6323811.659412997,-3404.380396663922,-3628.3652166929223,1094.4942413363644,-2.0589225925505232,-0.9858399629592931,-9.037037612870368
14.399999999999965,1070186.675272972,1033988.4349295511,6323921.063651943,-3404.5862660545513,-3628.463775250142,1093.5905252909326,-2.058465173468001,-0.9853311610640993,-9.037283365614744
14.499999999999964,1069846.2063540404,1033625.58362537,6324030.377518055,-3404.7920896986157,-3628.562282925135,1092.6867846632415,-2.0580077019985836,-0.9848223387962243,-9.037529258057507
14.599999999999964,1069505.7168550324,1033262.7224729661,6324139.601008875,-3404.997867594951,-3628.6607397179014,1091.7830194393212,-2.057550277095295,-0.9843135514529456,-9.037775290198656
14.699999999999964,1069165.2067805214,1032899.8514774265,6324248.734121943,-3405.2035997540347,-3628.7591456354257,1090.8792296052018,-2.057092863833539,-0.9838047815719654,-9.038021415472063
14.799999999999963,1068824.6761350816,1032536.970643839,6324357.776854796,-3405.4092861677177,-3628.8575006742158,1089.9754151562267,-2.05663540982642,-0.983296005870219,-9.038267587311598
14.899999999999963,1068484.124923288,1032174.0799772916,6324466.729204974,-3405.614926836,-3628.9558048366,1089.0715760877395,-2.056177955819301,-0.9827872301684727,-9.03851389884952
14.999999999999963,1068143.5531497144,1031811.1794828717,6324575.591170014,-3405.8205217588816,-3629.0540581202495,1088.1677123764568,-2.055720495991416,-0.9822784486459603,-9.038760326802763
15.099999999999962,1067802.9608189361,1031448.2691656676,6324684.362747449,-3406.0260709351983,-3629.152260526329,1087.263824022379,-2.0552630128804665,-0.9817696642130648,-9.03900677803907
