t_sec,epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
168.0,2025-10-20T15:50:19.476354Z,-472801.08756695554,16553443.974827344,24531061.318414927,-4875.638599574667,-34.31512248656451,-66.38792203088086
169.0,2025-10-20T15:50:20.476355Z,-475262.39979280374,16553467.38773739,24530977.959061272,-4875.6305001293895,-34.4814995464829,-66.76489246588649
170.0,2025-10-20T15:50:21.476356Z,-477723.71109866997,16553491.247633835,24530894.599707626,-4875.622450875171,-34.647877967338395,-67.14186290089212
171.0,2025-10-20T15:50:22.476357Z,-480185.02143245225,16553515.554516668,24530811.240353975,-4875.6144518121655,-34.81425774269571,-67.51883333589775
172.0,2025-10-20T15:50:23.476358Z,-482646.33074204955,16553540.308385877,24530727.88100032,-4875.606502940528,-34.98063886611957,-67.89580377090338
173.0,2025-10-20T15:50:24.476359Z,-485107.6389753599,16553565.509241438,24530644.521646675,-4875.598604260414,-35.14702133117466,-68.27277420590902
174.0,2025-10-20T15:50:25.476360Z,-487568.94608028186,16553591.157083323,24530561.162293024,-4875.590755771973,-35.313405131425654,-68.64974464091466
175.0,2025-10-20T15:50:26.476361Z,-490030.25200471416,16553617.251911502,24530477.802939374,-4875.58295747536,-35.479790260437234,-69.0267150759203
176.0,2025-10-20T15:50:27.476362Z,-492491.556696555,16553643.79372594,24530394.443585724,-4875.575209370728,-35.64617671177401,-69.40368551092594
177.0,2025-10-20T15:50:28.476362Z,-494952.86010370305,16553670.782526592,24530311.084232073,-4875.567511458225,-35.81256447900066,-69.78065594593157
178.0,2025-10-20T15:50:29.476363Z,-497414.1621740565,16553698.218313405,24530227.724878423,-4875.5598637380035,-35.97895355568178,-70.1576263809372
179.0,2025-10-20T15:50:30.476364Z,-499875.46285551414,16553726.10108634,24530144.365524776,-4875.552266210214,-36.14534393538197,-70.53459681594285
180.0,2025-10-20T15:50:31.476365Z,-502336.76209597435,16553754.430845326,24530061.006171122,-4875.544718875005,-36.31173561166584,-70.91156725094848
181.0,2025-10-20T15:50:32.476366Z,-504798.05984333536,16553783.207590302,24529977.646817476,-4875.537221732524,-36.47812857809795,-71.28853768595411
182.0,2025-10-20T15:50:33.476367Z,-507259.35604549595,16553812.431321204,24529894.28746382,-4875.529774782919,-36.64452282824286,-71.66550812095974
183.0,2025-10-20T15:50:34.476368Z,-509720.65065035445,16553842.102037953,24529810.928110175,-4875.522378026338,-36.810918355665116,-72.04247855596537
184.0,2025-10-20T15:50:35.476369Z,-512181.94360580924,16553872.219740475,24529727.568756524,-4875.515031462926,-36.97731515392922,-72.419448990971
185.0,2025-10-20T15:50:36.476370Z,-514643.2348597591,16553902.784428682,24529644.209402874,-4875.507735092831,-37.14371321659976,-72.79641942597665
