epoch_utc,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2
2025-01-01T00:01:38.000000Z,3708628.04740439,1723432.5270725826,4984047.562315575,-2265.7938950851094,-3016.9619760537753,1880.5866911066696,-5.621492539998144,-2.205500316049438,-6.966686826199293
2025-01-01T00:01:39.000000Z,3706359.442747338,1720414.4623372846,4985924.665646674,-2271.4142492872197,-3019.1655771854566,1873.6181574286893,-5.619148554396816,-2.201663135725539,-6.970308986026794
2025-01-01T00:01:40.000000Z,3704085.218905815,1717394.1959182117,4987794.798630432,-2277.032192193903,-3021.3653023252264,1866.646073134616,-5.616660240921192,-2.1977430474362336,-6.973776956787333
2025-01-01T00:01:41.000000Z,3701805.3783629504,1714371.731732634,4989657.957792943,-2282.647569769062,-3023.561063280329,1859.6706035151144,-5.614006769377738,-2.1937287279288284,-6.97706688195467
2025-01-01T00:01:42.000000Z,3699519.923766277,1711347.073791651,4991514.139837462,-2288.2602057326585,-3025.752759781084,1852.691939370707,-5.611164267989807,-2.1896072340314277,-6.980151339201257
2025-01-01T00:01:43.000000Z,3697228.857951485,1708320.226213072,4993363.341671685,-2293.8698983050417,-3027.940277748392,1845.710300836712,-5.608105354709551,-2.1853637575986795,-6.982998778577894
2025-01-01T00:01:44.000000Z,3694932.1839696663,1705291.1932361545,4995205.560439136,-2299.4764164420776,-3030.1234872962814,1838.725941813551,-5.604798593209125,-2.1809813412837684,-6.9855728736147285
2025-01-01T00:01:45.000000Z,3692629.905118601,1702259.9792384794,4997040.793555312,-2305.07949549146,-3032.3022404309595,1831.739155089483,-5.601207862491719,-2.176440548617393,-6.98783176089637
2025-01-01T00:01:46.000000Z,3690322.024978684,1699226.5887552924,4998869.038749315,-2310.678832167061,-3034.476368393516,1824.750278291758,-5.597291617421433,-2.1717190808267333,-6.989727150881663
2025-01-01T00:01:47.000000Z,3688008.547454267,1696191.0265016924,5000690.294111895,-2316.274078726303,-3036.645678592613,1817.759700787719,-5.593002033652738,-2.166791333875153,-6.991203298093751
2025-01-01T00:01:48.000000Z,3685689.476821231,1693153.2973981071,5002504.55815089,-2321.8648362343665,-3038.8099510612665,1810.7678716955704,-5.58828401111532,-2.161627880996093,-6.992195791564882
2025-01-01T00:01:49.000000Z,3683364.817781798,1690113.4065995698,5004311.8298552865,-2327.4506467485335,-3040.968934354605,1803.7753092045896,-5.583074007183313,-2.156194870476611,-6.992630143184215
2025-01-01T00:01:50.000000Z,3681034.575527734,1687071.359529398,5006112.108769299,-2333.030984248733,-3043.1223408022197,1796.7826114092022,-5.577298681717366,-2.1504533277475275,-6.9924201387912035
